location,title,company,salary,summary
"Vancouver, WA",R&D Sr Data Scientist,HP Inc.,128000.0,"We are seeking an experienced and innovative Data Scientist to develop and implement solutions within the our organization.  The Data Scientist will be responsible for partnering with internal Data Science engineering teams, Product Development teams, and industry experts to develop innovative principles and solutions. The position defines and implements models to uncover patterns and predictions which create business value and innovation in the area of Identity Management, Privacy, and other cloud platforms and software solutions. The candidate will be operating in a complex and diverse organization, successfully turning insights into actions and value. The role will put the candidate on the forefront of Software Platforms big data initiatives and provide insight and exposure to all aspects of HP and the industry.  Responsibilities Leads organization wide team or teams of other data science professionals in complex projects to mine data using modern tools and programming languages Develop new statistical models / machine learning techniques for identity and privacy management platforms Strong experience developing AI applications in predictive data, intent recognition and natural language processing Ensure accurate interpretation by combining business acumen with detailed data knowledge and statistical expertise. Works closely with machine learning experts to design, implement, tune, and optimize machine learning algorithms Manages and creates relationships with business partners to evaluate and foster data driven innovation, provide domain-specific expertise in cross-organization Leverages recognized domain expertise, business acumen, and overall data systems leadership to influence decisions of executive business leadership, development partners, and industry standards groups. Communicating business value and innovation potential through effective insights/visualizations. Represents the business at data science events, forums, boards. Prepares and presents literature, presentations, invention disclosures for peer review & publication in industry data science domain initiatives and conferences. Provides guidance and mentoring to less-experienced staff members. Qualifications Master or PhD in Engineering, Computer Science, Natural Science, Physics, Mathematics, or other relevant quantitative & applied field 5+ years industry experience with a proven track record of leveraging statistical modeling using large amounts of data to drive significant business impact. Solid foundation in statistics, modeling, machine learning and deep learning (unsupervised and supervised methods; reinforcement learning is a plus). Experienced in evaluating trade offs between model complexity and business value. Fluent in structured and unstructured data, its management, and modern data transformation methodologies. Ability to define and create complex models to pull valuable insights, predictions and innovation from data. Effectively and creatively tell stories and create visualizations to describe and communicate data insights. Proven experience in machine learning using tools like Caffe/TensorFlow/Scikit-learn, etc. Experience working effectively with science, data processing, and software engineering teams Ability to write clean, efficient code. Experience developing and testing models at scale in a production environment preferred. Familiarity with SQL. Knowledge of Spark/Hive/Pig a plus. Independent research ability and passion for learning and innovating new methodologies at the intersection of applied math, statistics, and machine learning. This is a new field and a lot of the hypotheses, intuitions, and models will have to be developed from scratch. Exceptional interpersonal and communication skills coupled with strong business acumen. Must be able to translate business objectives into actionable analyses, and analytic results into actionable business and product recommendations. Strong English communication skills Education & Experience  • Bachelor's, Master's or PHD degree in relevant field (Business, Analytics, Computer science, etc.)  • 3+ years' experience working in a agile environment  • 3+ years' experience in AI/ML techniques and processes  • 3+ years' experience in Cloud based technologies & architecture (AWS preferred)"
"Mountain View, CA",Customer Data Scientist/Sales Engineer (Bay,h2o.ai,150500.0,"Company Overview  H2O.ai is the open source leader in AI with a mission to democratize AI for everyone. H2O.ai is transforming the use of AI with software with its category-creating visionary open source machine learning platform, H2O. More than 18,000 companies use open-source H2O in mission-critical use cases for Finance, Insurance, Healthcare, Retail, Telco, Sales and Marketing. H2O Driverless AI uses ""AI to do AI"" in order to provide an easier, faster and cost-effective means of implementing data science. H2O.ai partners with leading technology companies such as NVIDIA, IBM, AWS, Intel, Microsoft Azure and Google Cloud Platform and is proud of its growing customer base which includes Capital One, Progressive Insurance, Comcast, Walgreens and MarketAxes. For more information and to learn more about how H2O.ai is driving an AI Transformation, visit www.h2o.ai.  Job Summery: Can you learn demonstrations (demos) built with R and/or Python? If you think of a cool demo and it doesn't exist, will you raise your hand to get it built? Can you code proficiently in at least one language used by data scientists and/or data engineers, and does it excite you to learn more? Are you skilled at predictive modeling? Do you view communication skills just as important as technical ones? Can you listen to the needs of your peers and customers and adapt where need be? Can you write a technical proposal and explain it in simple terms? Do you have a competitive drive to be the best you can be? Can you finish what you start? Can you own assignments given to you? If the answer is ""yes"" to these questions, you potentially could be an excellent fit to join the team of customer engineering makers at H2O.ai. We deliver world-class solution experiences for our customers and drive revenue for our organization. Some of the technical projects you will work on include: training advanced machine learning models at scale in distributed environments, influencing next generation data science tools and data products, and pioneering ideas and products in new areas, such as machine learning interpretability, automatic machine learning, model management, deployment pipelines, and GPU computing.  Qualifications and Skills:  A great candidate for Customer Data Scientist/Sales Engineer should: Know Python, R, Java, Scala, Spark. Have experience with Big Data including Hadoop, Spark, Kafka. Have a working knowledge of ML algorithms for Regression and Classification problems. Understanding of Supervised, Unsupervised, Deep learning techniques Knowledge of XGBoost, Linear regression, GBM, GLM, LightGBM, Random Forest and other common ML algorithms Experience using TensorFlow, Keras, Scikit libraries for performing ML . Have strong interpersonal, communication and presentation skills. 2+ years experience with performing customer facing activities as part of a pre-sales team or professional services team. Pre-sales experience is nice to have but not required. Comfortable with traveling up to 50%. We are interested in candidates coming from AI/ ML startups and have several years of work experience after completing their MSc or PhD degrees.  H2O.ai Perks! Flexible work hours and time off. H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.  Powered by JazzHR"
"Cambridge, MA",Research Scientist,GNS Healthcare,87500.0,"Company Overview  Imagine if we could match patients with the treatments that prove the most effective for them . . . GNS Healthcare applies a powerful form of AI called causal machine learning to predict which treatments and care management programs will work for which patients, improving individual patient outcomes and the health of populations while reducing the total cost of care.  Headquartered in the biotechnology and health IT center of Cambridge, MA, our patented REFS technology is based on recent breakthroughs in causal machine learning and AI that transforms massive quantities of patient data into computer models of disease at molecular, patient, and health system levels. These computer models power up solutions, products, and services that health plans, biopharmaceutical companies, health systems, and patient foundations utilize to slow disease progression, reduce adverse events and hospitalization, and improve therapeutic effectiveness. Our platforms and solutions have been validated across more than 35 diseases including oncology, cardiovascular and metabolic disease, autoimmune diseases, neurology, etc. and have appeared in over 40 peer-reviewed publications.  Position Summary  The Research Scientist will join a dynamic team responsible for start-to-finish work on the analysis and interpretation of real world datasets using GNSs powerful cloud-based analytics platform. An ideal candidate is someone who thrives on working in a fast-paced and exciting team environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will carry out analysis projects using our proprietary, supercomputer-powered Bayesian network modeling and simulation platform, and will synthesize these results into meaningful reports for clients and product development.  Responsibilities: Work as part of internal research teams and with clients to evaluate study design, define research questions, write statistical analysis plans/study protocols, conduct analyses, participate in the full research process, edit the full body of reports, and author publications and submissions to scientific meetings. Complete studies of high complexity in a timeline driven manner and achieve high client satisfaction. Perform predictive and causal modeling using both proprietary and off-the-shelf tools. Perform data manipulations and develop algorithms on multi-data sets that create the analytic files necessary to support analyses. Present information in a clear and concise way to clients and collaborators and assist them to understand the data and discuss how to incorporate the information into their processes. Troubleshoot with clients to discuss and refine models as needed. Scientific communications to peer-reviewed journals and conferences Requirements Minimum of a Masters Degree in Epidemiology, Statistics, Biostatistics, Data Science, Mathematics, Health Informatics, Health Economics, Bioinformatics, Computational Biology, Biophysics, or Computer Science, PhD is a plus. 2 years of relevant work experience. Expert level programming in R required. Experience in machine learning, probability theory, Bayesian analysis, and causal inference methods is a strong plus. Familiarity with the UNIX and cluster computing environment preferred. Experience handling and manipulating large data sets, EHR and claims data is a plus. Passion to learn new things and solve problems. Strong written and verbal communication; a clear ability to communicate technical material to non-technical audiences simply and clearly. Title commiserate with experience  Company Culture  Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.  We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.  GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.  Equal Employment Opportunity  GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.  Powered by JazzHR"
"Chantilly, VA",Data Scientist,Peraton,110000.0,"Overview   Peraton is seeking a Senior Data Scientist to provide data analysis and solutions to network and cyber security services.  Responsibilities   What you’ll do… Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. Generate and test hypotheses and analyze and interpret the results of product experiments. Work with product engineers to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation. Qualifications   You’d be a great fit if… Bachelor's degree in Computer Science, Statistics, Applied Math or equivalent plus 5–7 years of relevant work experience. Previous experience developing production systems for processing large volumes of structured and unstructured data in Java, Python or similar technology stack. Previous experience with Hadoop technology stack (Map reduce, HIVE/PIG, etc. Excellent verbal and written communication skills. Strong team player, capable of working collaboratively in customer teams. Security+ certification within 6 months of hire date Must possess an active TS/SCI with polygraph It’d be even better if you… Previous experience using R, Matlab, Python Scikit-learn or other statistical modeling packages, with a focus on machine learning; experience with NLP. Current Security+ certification What you’ll get… An immediately-vested 401(K) with employer matching Rapid PTO accrual schedule with floating holidays Comprehensive medical, dental, and vision coverage Tuition assistance, financing, and refinancing Paid maternity and paternity leave Company-paid infertility treatments Cross-training and professional development opportunities The ability to influence major initiatives SECURITY CLEARANCE This position requires the candidate to currently possess an active TS/SCI with polygraph. In order to obtain a clearance you need to be a US Citizen and show proof of citizenship.  About Peraton   At Peraton, we’re at the forefront of delivering the next breakthrough in national security, every day. We’re the partner of choice to help solve some of the world’s most daunting challenges. How? By thinking differently. We’re not mired in the past. We look at all problems with fresh eyes. We look past the obvious to bring the best talent, tech, and ideas together to completely transform how problems are solved. So bring your unique ideas, your entrepreneurial spirit, and your drive to succeed. Get ready to be part of something bigger. Get ready to do the can’t be done.  EEO Statement   We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law."
"San Jose, CA",Data Scientist,Pactera,113500.0,"Looking fora Data Scientis/Architect who has 8 yrs of exp in data design, data modelling, data flow, analytics in supply chain domain.  Here’s the detail JD: Expert programming skills in Python, R Experience in writing code for various Machine learning algorithms for classification, clustering, forecasting, regression, Neural networks and Deep Learning Hands-on experience with modern enterprise data architectures and data toolsets (ex: data warehouse, data marts, data lake, 3NF and dimensional models, modeling tools, profiling tools) Strong knowledge of Supply Chain domain, preferably in the hi-tech industry Strong problem solving and abstract thinking skills Knowledge of data architecture and design patterns and the ability to apply them Ability to conceptualize and articulate ideas clearly and concisely Excellent communication, presentation and interpersonal skills"
"San Francisco, CA",Data Scientist,Nurx,124000.0,"Nurx is looking for a Data Scientist who loves answering complex business and health questions through data. This is a rare opportunity to help build a data-driven culture from the ground up and impact the lives of millions by helping reinvent the healthcare system. We're building a system to support delivery of medical care in a modern and truly empathetic way.  This is a hybrid role in which you will run deep analyses on structured and unstructured data and also build and maintain ETLs to fetch data into the Nurx warehouse. You will be asked to work with your peers to determine the best algorithm to solve any given problem, and be able to create your own data structures to execute the solution.  On this team, you'll work closely with Product, Operations, Finance, Marketing and Engineering. You'll be reporting to the Head of Data & Research and will engage with all aspects of Nurx to discover insights on how to drive operational efficiency, help plan for staffing, and most importantly, increase our ability to better our patient's health.  What you'll do: Deliver the insights necessary to help Nurx scale its Operations and Medical teams. Identify, track, and report regularly on key operational performance metrics. Build intuitive dashboards to empower other team members with actionable data. Perform Data Cleansing, Data Mining and Data Modeling to analyze trends, and create forecasts in order to help Nurx understand more about its patients. Perform quantitative analysis, and ad-hoc reports to support key operations decisions, including staffing plans, process optimizations, and personnel performance management. Take an active role in key strategic decision making and analytics across the company. Flex into other areas of the organizations to help drive data driven decision making. Assist the Product, Finance, and Engineering teams derive key insights as needed. Engage with stakeholders to understand business problems and translate their questions into insights and easily digestible summaries. A bit about you: Minimum of 3+ years of experience in data science, business intelligence / consulting / investment banking / healthcare / public health or related experience. Bachelor's Degree in: Math, Finance, Economics, Statistics, Data Science, Physics or related field. Proven experience with Data Collection via ETLs and an understanding of data warehouse organization. Experience with machine learning tools and techniques such as clustering and classification. Experience with statistical modeling, and forecasting. Proven ability to write, optimize and execute complex SQL queries. Strong comfort level with manipulating complex data structures in Python, R, Scala, or other programmatic data analysis languages. Expertise in A/B testing is ideal. Bonus points if you've used and understand Splunk, Looker, or Mode. Analytical mindset, with the ability to focus on a problem, ask insightful questions, and gain expertise quickly. Competent understanding of statistical principles (eg. statistical significance). Ability to derive meaning from raw data in order to influence product decisions and direction. Nice to Haves: Prior experience with or interest in distributed data store environments. Passionate about improving the state of healthcare in the United States and beyond. About us:  At Nurx, we're creating a future where healthcare is easily accessible and affordable for everyone and building software that empowers people to be in control of decisions about their own health.  Our platform enables doctors to give patients personalized care at lower costs and prescriptions delivered straight to their door. We are committed to disrupting the healthcare system and increasing access to healthcare for millions across the country, starting with birth control and PrEP.  Benefits: Talented and collaborative team who will both support and challenge you. Market competitive salary and equity. Medical, dental, commuter, wellness, and engineering technology benefits. 401(k) retirement plan. Paid holiday, vacation, and sick leave. Take what you need vacation (and we really mean it!). This position is full-time and based in San Francisco, CA."
"Harrisburg, PA",Jr. Business Data Analyst,webfx.com,56500.0,"Hi there! We're WebFX, a full-service digital marketing agency based in the US. We've been named the Best Place To Work in Pennsylvania 5 times in a row and we'd love to meet you. We're looking for people to join our mission to provide world-class digital marketing solutions to mid-size businesses around the world. We get super excited about driving business growth for our clients and are looking for people who take pride in their marketing work and enjoy having a little fun at the same time.  What We're Looking For  Desired Education Bachelor's Degree in Marketing, Advertising, Business, Business Information System, Management of Information Systems, or Statistics (GPA above a 3.4)  General Knowledge Solid understanding of interpreting business analytics Strong data analysis skills Solid Understanding of the Internet  Experience Should have customer service experience in any industry Part time/summer job/internship experience is a must Basic HTML or data manipulation software experience (a plus) Experience with Google Analytics (a plus)  Qualities Stays up to date on new changes to the web and actively reads several blogs Professional, dependable, solid work ethic Solid analytical skills and ability to make decisions based on data Passion for research and deep-diving into business analytics Excellent time/project management skills Approaches problem solving proactively and in a professional manner Creative problem solving abilities Detail-Oriented Self-motivated Ability to meet deadlines  What You'll Do  Responsibilities Gather and analyze campaign data Consult with clients about their business goals and propose solutions and strategies that meet their needs Analyze competitors’ websites and online marketing initiatives Perform industry analysis and forecasting of trends Interpret web analytics, demographic data, market research, and buyer behaviors Optimizing client websites for search engines (on-page SEO) Create and manage all aspects of SEO, PPC, and paid search ad campaigns for clients Manage email marketing, website analysis and online advertising programs Prepare monthly digital marketing campaign reports Correct technical issues on the backend of website Perform A/B, website usability, and website conversion rate testing Responsible for driving client success on the web  Percentage Breakdown 5% analyzing clients’ competitors 10% writing ad copy, emails, etc. 10% working in the backend of websites/fixing technical issues 10% creating revenue, ROI and traffic reports for client campaigns 10% managing client projects and ad campaigns 15% performing industry, demographic and market research, and trend forecasting 20% client strategy and analytics 20% client interaction- phone calls, emails, in-person meetings Note: The Jr. Business Data Analyst is a client-facing position  Training Our “Bootcamp” web marketing training program will be provided for new WebFX “family members”. On-site, state-of-the-art training amenities to facilitate departmental trainings, trend watch reports, and monthly Lunch-and-Learns  What You'll Get  Opportunities for Growth WebFX grew 250%+ over the past 3 years, and merit-based promotional opportunities are abundant for new family members who meet or exceed position performance metrics.  Potential Promotional Path for Jr. Business Data Analyst: Digital Marketing Research Consultant Director of Digital Marketing Sr. Digital Marketing Research Consultant  Compensation $35,500 to $38,500 (potentially higher based on work experience) GPA 3.8+ : Add up to $3k to high range Elite college or university & graduation with high honors: Add up to $3.5k-$5k to high range  Candidates interested in the Jr. Business Data Analyst position may also have interest in: Digital marketing, online marketing, paid advertising, search marketing, inbound marketing, web marketing, content marketing, PPC, SEO, SEM, blogging, writing, editing, research, communications, etc. WebFX Perks & Benefits Flexible Schedule Pet Friendly Office Profit Sharing Little Amps Coffee & Tea Bar Yoga On-site Fitness Center 150% Company Match Of Personal Charity Donations Supplemental Insurance IRA With Company Matching Generous Paid Time Off Employee Wellness Program FXLearns Library Activity Groups Humanitarian Trips Health/Vision/Dental Coverage New Parent Support Casual Dress Code Home Buyer Program Personal Desk Fund Green Commute Benefits Pawternity Leave"
"Laurel, MD",Data Scientist,Johns Hopkins University Applied Physics Laboratory,130000.0,"Are you passionate about providing real impact to the country's toughest national security problems?  Are you searching for engaging work with an employer that prioritizes innovation?  If so, we may be looking for you to join our group at the Johns Hopkins University Applied Physics Laboratory (JHU/APL)!  The Tactical Intelligence Systems Group of the Asymmetric Operations Sector is seeking a Data Scientist to develop cutting-edge solutions for challenges in data science and machine learning!  As a Data Scientist, you will.... Primarily apply knowledge in machine learning, artificial intelligence, data analysis, and software development to solve big data challenges Explore current academic research to maintain technical edge and enable innovation Collaborate with laboratory, for-profit contractors, and sponsor teams to address critical sponsor needs Effectively communicate results to both JHU/APL and sponsor leadership You'll meet our minimum qualifications for the position if you... Possess a B.S. or B.A. in Mathematics, Computer Science, Computer Engineering, Electrical Engineering, Information Science, or a related field Are experienced with machine learning or deep learning and Python Can be successfull working in a team environment Possess excellent verbal and written communication skills Have strong problem solving and organizations skills and are able to determine priorities and adjust to evolving project and sponsor needs Are able to obtain Secret level security clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship You'll go above and beyond our minimum qualifications if you... Possess a M.S. or M.A. in Mathematics, Computer Science, Computer Engineering, Electrical Engineering, Information Science, or related field Have a minimum of 4 years of experience with machine learning or deep learning and statistical analysis; active security clearance Possess an active secret (or higher) clearance Why work at APL?  The Johns Hopkins University Applied Physics Laboratory (APL), a national leader in scientific research and development, brings world-class expertise to our nation's most critical defense, security, space and science challenges. With a wide selection of challenging, impactful work and a robust education assistance program, APL promotes a culture of life-long learning. Our employees enjoy generous benefits and healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities atwww.jhuapl.edu/careers.  APL is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability status, veteran status, or any other characteristic protected by applicable law."
"Chicago, IL",Data Analyst,Productive Edge,77500.0,"The Productive Edge Data, Automation and Artificial Intelligence (AI) Practice provides advanced technology solutions and strategies that propel our clients into the modern data age. Our PE teams turn the promise of AI and Machine Learning into practical solutions that empower differentiated customer experiences, predictive insights, and transformational business outcomes. Likewise, PE’s “Modern Data Management Framework” and Agile-centric methodology enable us to achieve impactful results rapidly and efficiently.  As a Data Analyst at Productive Edge, you will be a member of a high performing team delivering software solutions to clients. Your days will normally consist of the following activities: Partner with project leadership to understand client business processes Work with client and internal stakeholders to gather functional and technical requirements on current and future systems and processes Serve as a subject matter expert in the customer's business process and be able to break down processes into manageable steps Discover and understand individual sources of structured or unstructured data for the customer’s business process and how the data might change throughout the process Collaborate with customer to identify patterns, trends and anomalies in the data, communicating these to the business and understanding the genesis of these patterns Participate in Agile development activities to ensure quality, clarity, and transparency throughout delivery Deliver software that adds measurable value to clients, ensuring client satisfaction throughout engagement To excel in these daily activities, a Data Analyst at Productive Edge would make use of the following experience and skills (not all of these are required, but highly desirable): Agile methodologies (Scrum, XP), tools (JIRA), and artifacts (epics, user stories) Diagramming/modeling tools (OmniGraffle, Visio), artifacts (data flow, sequence, state machine, entity relationship, process flows, use cases) and languages (UML, BPMN) Prior development or technical knowledge and skills (SOA, OOP, .NET / Java, SQL) Ability to document system-level requirements like services, database models, integration points and server configurations Quality processes (test cases, defect triage) Excellent communication and presentation skills, working with both client and technical teams Time, task, organization and meeting management About Productive Edge  Productive Edge is a Chicago-based leader in digital transformation. As digital business consultants, we focus on digital strategy, customer experience, operations improvement, and product & services enablement. How do we do this? Through launching solutions for Data and Artificial Intelligence (AI), Intelligent Automation (IA), Internet of Things (IoT), and Cloud Native Solutions. Sounds fun, right? It gets better...and that’s where you come in!  Productive Edge offers the dynamic opportunity to use your talents in a progressive, highly-collaborative environment that values innovation and creativity. We are a culture that stays on the cusp of today’s developing and emerging technologies. Our passion, ingenuity, and dedication sets us apart from other consultants (as does our modern work atmosphere with fun outings, foosball, stocked fridge and other activities). Because we work with and develop solutions for some of the world’s most exciting brands, we are actively searching for individuals who are ready to change the way the world operates.  And if that’s not enough, Productive Edge has been featured as one of Chicago’s 101 Best and Brightest Companies to Work For, included in Crain’s Fast 50, and is a regular on Inc. 5000."
"Arlington, VA",Data Engineer,Excella Consulting,87000.0,"Overview   The Data Engineer participates in the design and build of modern data products that comprise of raw data stores (data lakes) and cleansed data repositories, populated by batch or streaming data pipelines. The Data Engineer works with a team to create a robust, sustainable and flexible design and leads the technical delivery using Agile delivery frameworks like Scrum or Kanban.  Responsibilities Developing and managing data processes to ensure that data is available and usable Creation and automation of data pipelines and platforms Managing and monitoring data quality via automated testing frameworks (Data Driven Testing, TDD, etc.) Working closely with Architects, Data Scientists, and DevOps to design, build, test, deliver, and maintain sustainable and highly scalable data solutions Researching data acquisition and evaluating suitability Integration of data management solutions into client environment Actively managing risks to data and ensuring there is a data recovery plan Building data repositories such as: data warehouses, data lakes, and operational data stores, etc. Qualifications 3+ years relevant professional work experience. Experience and expertise in the following: Creating robust and extensible data pipelines for production systems Use of cloud platforms, preferably AWS Creating secure, performant, and well-modeled data stores Common analytical platform architectural patterns (Star Schema, data integration patterns, ABAC, data quality frameworks etc.) Data lake design patterns and technology options (schema on read, metadata capture, search framework) Use of scripting languages, preferably Python Familiarity with NoSQL databases Source code version control management using git Project experience using the Scrum or Kanban framework. Professionalism; to include written and oral communication – the ability to communicate collaboratively in front of a whiteboard. An ability to understand your audience and adjust your communication style to fit Aptitude and desire for learning new technologies. Technically savvy, entrepreneurial spirit who thrives in environments that reward self-initiative and resourcefulness. About Excella   Excella is a leading provider of Agile software development and data and analytics solutions to clients in the federal, commercial and non-profit sectors. We believe that great work leads to great things –- our experts measure success by the positive impact we make on our clients, community, and colleagues. We are growing fast and need passionate, innovative people who love working with technology and are ready to make an impact.  Here's what you can expect from us: You'll work with great people who love what they do: our team includes published authors, certified trainers, and internationally renowned speakers. We have a ""bring your own device"" workplace and will share the cost of a new computer of your choice -- Mac or PC. It's up to you. We'll invest in your career by providing 3 days of paid professional development every year, including travel and registration fees to attend classes and conferences, in addition to tuition assistance for degrees and certifications. Starting day one, every employee is bonus eligible and receives 15 days of paid vacation, 6 federal holidays, and 4 floating holidays. You can bike, drive, or metro to work -- our commute reimbursement plan has you covered. You'll have fun! We hold monthly social events all year long, including a summer event for you and your family. Excella is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law."
"Tacoma, WA",Data Analyst,Gensco,53500.0,"Description Interpret data, analyze results using statistical techniques and provide ongoing reports Identify areas where data can be used to improve business activity. Develop requirements for data, reporting, views and tools. Provide quality assurance of imported data. Develop methods to assist with the improvement of data collection. Commissioning and decommissioning of data sets. Processing confidential data and information according to guidelines. Supporting the data warehouse in identifying and revising reporting requirements. Troubleshoot reporting database environment and reports as needed. Training end users on new reports and dashboards. Provide technical expertise on data storage structures, data mining, and data cleansing.  Education/Experience/Skills Bachelor’s degree from an accredited university or college in Data Analytics or Computer Science 2+ years’ work experience as a data analyst or a related field Ability to work with stakeholders to assess data output Ability to translate business requirements into non-technical, lay terms Proactive, self-motivated, able to recognize issues and resolve or escalate appropriately Excellent interpersonal skills, both in person and over the phone Able to use electronic calculator, computer terminal, personal computer, etc Must be comfortable working in a team oriented, fast paced, multiple task and customer focused environment Willing to “think out of the box” and identify process improvement opportunities  Equal Opportunity Employer Our team members enjoy excellent wages and a comprehensive benefits package. Benefits include health care coverage, LTD, 401k Profit Sharing Retirement plan, paid vacation, paid holidays and paid sick leave. Come join our successful team! Gensco is an equal opportunity employer."
"Plano, TX",Staff Data Scientist - Technology,Walmart,139000.0,"Position Summary... Drives the execution of multiple business plans and projects by identifying customer and operational needs; developing and communicating business plans and priorities; removing barriers and obstacles that impact performance; providing resources; identifying performance standards; measuring progress and adjusting performance accordingly; developing contingency plans; and demonstrating adaptability and supporting continuous learning. Provides supervision and development opportunities for associates by selecting and training; mentoring; assigning duties; building a team-based work environment; establishing performance expectations and conducting regular performance evaluations; providing recognition and rewards; coaching for success and improvement; and ensuring diversity awareness. Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrity by training and providing direction to others in their use and application; ensuring compliance with them; and utilizing and supporting the Open Door Policy. Ensures business needs are being met by evaluating the ongoing effectiveness of current plans, programs, and initiatives; consulting with business partners, managers, co-workers, or other key stakeholders; soliciting, evaluating, and applying suggestions for improving efficiency and cost-effectiveness; and participating in and supporting community outreach events. What you'll do...   A Staff Data Scientist is responsible for analyzing large data sets to develop multiple custom models and algorithms to drive innovative business solutions. Staff Data Scientists work on large project teams in order to provide analytical support and guidance to an assigned area on for large projects (for example, email targeting, business optimization, consumer recommendations) within Walmart eCommerce. Staff Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics. Those algorithms will be tested, validated, and applied to large data sets. Staff Data Scientists are responsible for training the algorithms so they can be applied to future data sets and provide the appropriate search results. Staff Data Scientists are responsible for researching new trends in the industry and utilizing up-to-date technology (for example, HBase, MapReduce, LAPack, Gurobi) and analytical skills to support thei  Build complex data sets from multiple data sources, both internally and externally.  Conduct advanced statistical analysis to determine trends and significant data relationships.  Build learning systems to analyze and filter continuous data flows and offline data analysis.  Train algorithms to apply models to new data sets.  Validate models and algorithmic techniques.  Scale new algorithms to large data sets.  Combine data features to determine search models.  Research new techniques and best practices within the industry.  Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).  Develop multiple custom data models to drive innovative business solutions.  Translate business needs into data requirements.  Collaborate with cross-functional partners across the business.  Interpret data to identify trends to go across future data sets.  Collaborate with project teams to implement data modeling solutions.  Develop models of current state in order to determine improvements needed.  Minimum Qualifications...   Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.  Minimum Qualifications: Bachelor of Science and 5 years' data science experience OR Master of Science and 3 years' data science experience. Preferred Qualifications...   Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications."
